iter	RMSE
0	0.9322803348
1	0.9236329362
2	0.9156512154
3	0.9085591451
4	0.9010376729
5	0.8945430531
6	0.8884331083
7	0.8833558276
8	0.8782634155
9	0.8735892948
10	0.8692330916
11	0.8650562576
12	0.8606992532
13	0.8569795735
14	0.8535624865
15	0.8505587938
16	0.8473620695
17	0.844355137
18	0.8413547427
19	0.8386792062
20	0.8362324089
21	0.8338101613
22	0.8315046029
23	0.8294572182
24	0.8273547597
25	0.8254506819
26	0.8235452739
27	0.8217956607
28	0.8201121695
29	0.818325594
30	0.8166723749
31	0.8150170897
32	0.8137024027
33	0.8123442675
34	0.8110973448
35	0.8099060081
36	0.8086972741
37	0.8075195839
38	0.8063139961
39	0.8049948741
40	0.8039258793
41	0.8028300715
42	0.8016340258
43	0.8004778335
44	0.7995235185
45	0.7985596421
46	0.7976591707
47	0.7966766349
48	0.7958272577
49	0.7949762932
50	0.7942360867
51	0.7934491233
52	0.7926796561
53	0.7917525461
54	0.7910664496
55	0.7902874953
56	0.7896909182
57	0.7888492855
58	0.7880872618
59	0.787327936
60	0.7865938252
61	0.7860017624
62	0.7853149729
63	0.784700349
64	0.7839805312
65	0.7832315179
66	0.7825328041
67	0.7819504431
68	0.781415629
69	0.7808265512
70	0.7802981307
71	0.7798080236
72	0.7792858119
73	0.7787560679
74	0.7781784248
75	0.7777149215
76	0.7772235847
77	0.7767388328
78	0.7762866058
79	0.7758326125
80	0.7753438451
81	0.7747557127
82	0.7743034025
83	0.7737568699
84	0.7732043575
85	0.7727238181
86	0.7722573798
87	0.771709646
88	0.7712217254
89	0.7708705381
90	0.7704497799
91	0.7698703896
92	0.769463908
93	0.7690151368
94	0.7686276906
95	0.7681814343
96	0.7677717528
97	0.7673030186
98	0.7669042505
99	0.7665073758
100	0.7661544664
101	0.7656804999
102	0.7652949628
103	0.7648368829
104	0.7645370792
105	0.7641833342
106	0.7638208093
107	0.7634358643
108	0.7630136779
109	0.7627124394
110	0.7623248634
111	0.7620368152
112	0.7616817674
113	0.7613690038
114	0.7611610353
115	0.7608303688
116	0.7605384059
117	0.7602855846
118	0.759926853
119	0.75967209
120	0.7593626393
121	0.7590279773
122	0.7587283511
123	0.7584843906
124	0.7580904924
125	0.7577569181
126	0.7574226561
127	0.7571290545
128	0.7568274911
129	0.7564894713
130	0.7560946381
131	0.7557252803
132	0.7553295844
133	0.7550546002
134	0.7547530103
135	0.7544356651
136	0.754055439
137	0.7538054629
138	0.7535451757
139	0.7531611689
140	0.7529388078
141	0.7525444502
142	0.7522433142
143	0.7518877042
144	0.7516363971
145	0.7514015103
146	0.7510881364
147	0.7508122889
148	0.7505618929
149	0.7502218008
150	0.7499373005
151	0.7497214826
152	0.7494514646
153	0.7491758412
154	0.7488475185
155	0.7486035096
156	0.7483516378
157	0.7480035057
158	0.7476931538
159	0.7473604784
160	0.7470023007
161	0.7467766673
162	0.7464988561
163	0.7461930605
164	0.7460104968
165	0.7457544058
166	0.7455957264
167	0.7452780446
168	0.7450049174
169	0.7447783714
170	0.744512625
171	0.7442763773
172	0.7440830734
173	0.7438276885
174	0.7435033196
175	0.7432504009
176	0.7430287208
177	0.7428195957
178	0.7425684452
179	0.742304825
180	0.7420236886
181	0.7417974023
182	0.7415191655
183	0.7411754826
184	0.7409263581
185	0.7405542674
186	0.7403577727
187	0.7401150156
188	0.7399204417
189	0.7396434427
190	0.7394798352
191	0.7392147952
192	0.738929313
193	0.7387681892
194	0.7385978479
195	0.7384619819
196	0.7381280041
197	0.7379422609
198	0.7376597206
199	0.7373572187
200	0.7371093771
201	0.7368536972
202	0.7366740377
203	0.7364709311
204	0.7363297334
205	0.7360573869
206	0.7358961335
207	0.7357173632
208	0.7355046738
209	0.7352720604
210	0.7350059197
211	0.7348196205
212	0.7345064484
213	0.7342765326
214	0.7340866057
215	0.7338244476
216	0.7335985588
217	0.7334416767
218	0.7332187674
219	0.7330242436
220	0.7328024189
221	0.7325461732
222	0.7323642766
223	0.7320946957
224	0.7317968374
225	0.7316021864
226	0.7314106103
227	0.7311832378
228	0.7310025235
229	0.7307820268
230	0.730571521
231	0.7303323964
232	0.7301468247
233	0.7298839918
234	0.7297196593
235	0.7295216553
236	0.7292757651
237	0.7290309499
238	0.72882368
239	0.7285600842
240	0.7283892348
241	0.7281951822
242	0.7279985037
243	0.7277002087
244	0.7275044041
245	0.7273516177
246	0.7271170513
247	0.7269847337
248	0.7267806562
249	0.7265535007
250	0.7263826948
251	0.7261768016
