iter	Passed	Remaining
0	33	16526
1	64	16089
2	93	15499
3	124	15401
4	152	15140
5	182	14991
6	211	14864
7	239	14758
8	268	14672
9	297	14597
10	326	14532
11	353	14391
12	383	14349
13	414	14387
14	443	14343
15	473	14327
16	503	14299
17	532	14272
18	561	14209
19	592	14229
20	620	14154
21	649	14106
22	676	14033
23	704	13969
24	735	13973
25	765	13947
26	794	13916
27	821	13856
28	851	13828
29	877	13749
30	906	13708
31	935	13687
32	963	13631
33	995	13639
34	1023	13598
35	1051	13553
36	1082	13547
37	1112	13521
38	1144	13526
39	1171	13475
40	1198	13422
41	1225	13361
42	1252	13313
43	1277	13243
44	1305	13199
45	1335	13178
46	1363	13140
47	1392	13113
48	1419	13061
49	1446	13014
50	1472	12965
51	1501	12938
52	1527	12885
53	1555	12846
54	1582	12807
55	1613	12790
56	1642	12768
57	1673	12756
58	1700	12710
59	1726	12660
60	1755	12631
61	1784	12604
62	1813	12582
63	1844	12564
64	1872	12532
65	1898	12484
66	1926	12451
67	1958	12442
68	1988	12418
69	2015	12380
70	2041	12334
71	2069	12301
72	2097	12269
73	2123	12226
74	2152	12197
75	2180	12162
76	2207	12129
77	2237	12102
78	2262	12059
79	2291	12032
80	2319	12000
81	2349	11974
82	2376	11937
83	2402	11899
84	2431	11872
85	2457	11829
86	2484	11794
87	2513	11767
88	2539	11725
89	2566	11690
90	2596	11669
91	2625	11641
92	2651	11602
93	2679	11573
94	2707	11542
95	2736	11514
96	2764	11486
97	2794	11464
98	2824	11438
99	2850	11402
100	2877	11367
101	2905	11336
102	2932	11304
103	2962	11279
104	2993	11260
105	3023	11236
106	3051	11206
107	3076	11165
108	3102	11130
109	3132	11105
110	3158	11068
111	3186	11038
112	3213	11007
113	3241	10975
114	3269	10946
115	3295	10907
116	3322	10876
117	3350	10846
118	3378	10817
119	3408	10794
120	3438	10769
121	3467	10744
122	3495	10713
123	3521	10679
124	3549	10648
125	3576	10616
126	3606	10592
127	3634	10561
128	3661	10531
129	3691	10506
130	3720	10478
131	3747	10448
132	3775	10417
133	3803	10388
134	3834	10368
135	3865	10344
136	3894	10317
137	3921	10287
138	3951	10261
139	3980	10235
140	4010	10210
141	4037	10179
142	4068	10158
143	4097	10129
144	4126	10103
145	4154	10072
146	4185	10050
147	4212	10019
148	4241	9991
149	4270	9964
150	4297	9931
151	4324	9900
152	4354	9875
153	4381	9844
154	4410	9817
155	4439	9789
156	4468	9762
157	4495	9731
158	4522	9699
159	4550	9669
160	4578	9640
161	4609	9617
162	4635	9582
163	4661	9549
164	4689	9521
165	4718	9493
166	4749	9469
167	4777	9440
168	4807	9415
169	4834	9385
170	4861	9353
171	4888	9321
172	4914	9288
173	4941	9259
174	4969	9229
175	4999	9203
176	5032	9182
177	5061	9156
